"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ACAD10",1158.50786569549,-0.107745151631399,0.141929274857686,-0.759146777431483,0.447764759570036,0.921936372364031
"ACAD11",1234.94150777763,0.399649144821613,0.274454336871722,1.45615897120404,0.145348678602617,0.782589837425108
"ACAD8",490.607779669049,-0.0407926009527155,0.155635542173984,-0.262103375507336,0.793241744454134,0.978906640243383
"ACAD9",980.097508538035,-0.0844020618239767,0.141282647012958,-0.597398644549998,0.550241258488917,0.937144732566833
"ACADL",0.492440082762234,3.26170736979404,4.24250185142827,0.768816958487821,0.442001980068349,0.92104855725984
"ACADM",5446.76655061261,-0.366332760902019,0.145637233031121,-2.51537847346865,0.0118904662394443,0.39861284978468
"ACADS",839.548197061925,-0.564669713571535,0.401823095455589,-1.40526943313527,0.15994117416577,0.792929592322552
"ACADSB",1165.39655213522,-0.177277594570114,0.209782562309102,-0.845054005532197,0.39808068678509,0.908472882942802
"ACADVL",23785.0883387663,-0.0067744150232314,0.208482830464332,-0.0324938749543233,0.974078200530449,1
"ACAN",19.6772876034816,3.02895070399831,1.63083547450207,1.85729998602288,0.0632684864127421,0.644138534370598
"ACAP1",31.441940099291,0.492786144248539,0.412806785885775,1.19374526073051,0.232577629934492,0.840873203294367
"ACAP2",3455.22612905378,0.0125500201227993,0.0992421831266633,0.126458525270264,0.899368977462038,0.994187638135529
"ACAP3",1352.30190713357,-0.129557852376925,0.225479217955193,-0.574588884740014,0.565569371179302,0.939396203072455
"ACAT1",1314.08118501542,-0.301219166454523,0.241548449331102,-1.24703415521259,0.212384974181097,0.825721971054101
"ACAT2",1499.57870311283,-0.459288985743459,0.405742555778776,-1.13197144150164,0.257646441146188,0.862358997955284
"ACBD3",3931.29458215593,-0.074935337678136,0.106484680460027,-0.703719420994701,0.481607523322761,0.927130460022565
"ACBD4",2033.61040879413,0.0226466456556779,0.237956901538787,0.0951712075137543,0.92417883923239,0.998199985057978
"ACBD5",5551.20134092512,-0.10640477034226,0.133924328641387,-0.794514121681232,0.42689619118469,0.919553724507066
"ACBD6",1446.41729963458,-0.0661826654837914,0.118728230432113,-0.557429898878459,0.577233742239529,0.942891386091461
"ACBD7",11.8700047991165,-0.42695715155896,0.655639907318043,-0.651206777978889,0.514913015584793,0.930687658536729
"ACCS",349.163990747166,0.299348020906599,0.552885588398812,0.541428511047879,0.588212259990838,0.944723734864726
"ACCSL",0.536411791546072,-1.62751318108012,4.26902438483745,-0.381237733581624,0.703026852180192,0.960742518136703
"ACD",624.923111081342,-0.0177376165111281,0.199065831758108,-0.089104274472787,0.928999040371837,0.998511707375144
"ACE",216.057538127788,-0.0957716771521136,0.849524751802479,-0.112735593576185,0.910240181526306,0.996212227424198
"ACE2",72.6694389045393,0.195499680371907,0.611004455166432,0.319964410600992,0.748995309644244,0.97157264793851
